run_id,campaign,model,method,seed,steps,regime,math500,aime24,olympiadbench,minerva_math,gsm8k,kk_hard,bbh_logical_deduction,bbh_tracking,zebra_logic_mc,gpqa_diamond,mmlu_pro_chemistry,mmlu_pro_physics
v3_qwen14b__maxvar_s1,crossfamily,Qwen2.5-14B-base,maxvar,1,300,,87.4,6.7,40.7,38.2,94.6,57.0,78.66666666666667,87.46666666666667,37.8,39.39393939393939,64.4,62.6
v3_qwen14b__maxvar_s2,crossfamily,Qwen2.5-14B-base,maxvar,2,300,,88.2,13.3,42.5,41.9,94.8,33.5,79.2,88.13333333333334,41.0,41.41414141414141,66.0,66.4
v3_qwen14b__maxvar_s3,crossfamily,Qwen2.5-14B-base,maxvar,3,300,,88.2,13.3,41.0,39.3,94.0,42.5,83.06666666666666,87.73333333333333,45.2,43.43434343434343,65.2,66.4
v3_qwen14b__topk_s1,crossfamily,Qwen2.5-14B-base,topk,1,300,,89.6,13.3,40.4,39.3,93.9,71.5,81.06666666666666,89.86666666666666,32.8,44.94949494949495,62.2,68.4
v3_qwen14b__topk_s2,crossfamily,Qwen2.5-14B-base,topk,2,300,,87.0,20.0,40.9,40.4,93.6,64.5,80.93333333333334,89.6,40.6,40.4040404040404,64.8,64.4
v3_qwen14b__topk_s3,crossfamily,Qwen2.5-14B-base,topk,3,300,,88.4,13.3,44.9,39.7,94.8,44.0,82.0,89.46666666666667,31.6,40.4040404040404,64.0,64.4
J2__noise20_baseline_s1,constrained,Qwen2.5-7B-Instruct,baseline,1,300,noise20_20pct_label_noise,86.8,13.3,39.7,34.9,92.8,29.5,75.2,85.06666666666666,36.2,38.38383838383838,57.6,59.0
J2__noise20_baseline_s2,constrained,Qwen2.5-7B-Instruct,baseline,2,300,noise20_20pct_label_noise,84.8,6.7,37.9,37.1,92.0,25.0,74.26666666666667,86.0,37.0,33.333333333333336,58.0,58.4
J2__noise20_baseline_s3,constrained,Qwen2.5-7B-Instruct,baseline,3,300,noise20_20pct_label_noise,86.4,10.0,38.4,36.8,92.7,31.0,74.93333333333334,86.13333333333334,35.4,31.818181818181817,48.6,48.6
J2__noise20_difffilter_s1,constrained,Qwen2.5-7B-Instruct,difffilter,1,300,noise20_20pct_label_noise,86.6,20.0,41.2,36.8,91.5,31.0,76.13333333333334,85.2,41.2,31.818181818181817,38.2,48.2
